,State,County,Plant Name,Status,Nameplate Capacity (MW),Primary Energy Source,Initial Month of Operation,Initial Year of Operation
340,TN,Sullivan,Tennessee Eastman Operations,OP,18.0,BIT,12,1994
341,TN,Sullivan,Tennessee Eastman Operations,OP,16.6,BIT,10,1994
342,TN,Sullivan,Tennessee Eastman Operations,OP,6.0,BIT,9,1936
343,TN,Sullivan,Tennessee Eastman Operations,OP,6.0,BIT,9,1939
344,TN,Sullivan,Tennessee Eastman Operations,OP,6.0,BIT,7,1941
345,NY,Monroe,Kodak Park Site,OP,15.0,BIT,12,1968
346,NY,Monroe,Kodak Park Site,OP,12.5,BIT,8,1954
347,NY,Monroe,Kodak Park Site,OP,25.6,BIT,5,1964
348,NY,Monroe,Kodak Park Site,OP,25.6,BIT,8,1967
349,NY,Monroe,Kodak Park Site,OP,25.6,BIT,4,1969
350,NY,Monroe,Kodak Park Site,OP,25.6,BIT,8,1987
351,PA,Cambria,Ebensburg Power,OP,57.6,WC,11,1990
352,IL,Massac,Joppa Steam,OP,183.3,SUB,8,1953
353,IL,Massac,Joppa Steam,OP,183.3,SUB,9,1953
354,IL,Massac,Joppa Steam,OP,183.3,SUB,5,1954
355,IL,Massac,Joppa Steam,OP,183.3,SUB,8,1954
356,IL,Massac,Joppa Steam,OP,183.3,SUB,6,1955
357,IL,Massac,Joppa Steam,OP,183.3,SUB,8,1955
358,KS,Cherokee,Riverton,OP,37.5,SUB,6,1950
359,KS,Cherokee,Riverton,OP,50.0,SUB,6,1954
360,MO,Jasper,Asbury,OP,212.8,SUB,6,1970
361,MO,Jasper,Asbury,OP,18.7,SUB,4,1986
362,PA,Delaware,Eddystone Generating Station,OP,353.6,BIT,10,1960
363,FL,Citrus,Crystal River,OP,440.5,BIT,10,1966
364,FL,Citrus,Crystal River,OP,523.8,BIT,11,1969
365,FL,Citrus,Crystal River,OP,739.2,BIT,10,1984
366,FL,Citrus,Crystal River,OP,739.2,BIT,12,1982
367,OH,Ashtabula,FirstEnergy Ashtabula,OP,256.0,SUB,12,1958
368,OH,Lake,FirstEnergy Eastlake,OP,123.0,SUB,9,1953
369,OH,Lake,FirstEnergy Eastlake,OP,123.0,SUB,12,1953
370,OH,Lake,FirstEnergy Eastlake,OP,123.0,SUB,8,1954
371,OH,Lake,FirstEnergy Eastlake,OP,208.0,SUB,3,1956
372,OH,Lake,FirstEnergy Eastlake,OP,680.0,BIT,9,1972
373,OH,Cuyahoga,FirstEnergy Lake Shore,OP,256.0,SUB,6,1962
374,OH,Belmont,FirstEnergy R E Burger,OS,103.4,BIT,3,1950
375,OH,Jefferson,FirstEnergy W H Sammis,OP,190.4,BIT,8,1959
376,OH,Jefferson,FirstEnergy W H Sammis,OP,190.4,BIT,7,1960
377,OH,Jefferson,FirstEnergy W H Sammis,OP,190.4,BIT,7,1961
378,OH,Jefferson,FirstEnergy W H Sammis,OP,190.4,BIT,11,1962
379,OH,Jefferson,FirstEnergy W H Sammis,OP,334.0,BIT,12,1967
380,OH,Jefferson,FirstEnergy W H Sammis,OP,680.0,BIT,4,1969
381,OH,Jefferson,FirstEnergy W H Sammis,OP,680.0,BIT,9,1971
382,OH,Lucas,FirstEnergy Bay Shore,OP,140.6,SUB,2,1959
383,OH,Lucas,FirstEnergy Bay Shore,OP,140.6,SUB,5,1963
384,OH,Lucas,FirstEnergy Bay Shore,OP,217.6,SUB,6,1968
